,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
0,ERP Data Quality Specialist,"Pretoria CBD, Gauteng",Contract Specialist position,Tipp Focus,R Undisclosed,,03 Dec 2022,20 Dec 2022,17,16,https://www.careerjunction.co.za/erp-data-quality-specialist-job-2492759.aspx
1,Data Analyst,"Cape Town CBD, Western Cape
 / Work From Home",Permanent Intermediate position,Acuity Consultants,"R45,800 per month",45800.0,03 Dec 2022,11 Dec 2022,8,7,https://www.careerjunction.co.za/data-analyst-job-2491437.aspx
2,Senior Reference and Master Data Management Specialist,"Pretoria CBD, Gauteng",Contract Specialist position,Tipp Focus,R Undisclosed,,03 Dec 2022,20 Dec 2022,17,16,https://www.careerjunction.co.za/senior-reference-and-master-data-management-specialist-job-2492758.aspx
3,Data Analyst (JHB) at Datafin Recruitment,"Johannesburg, Gauteng",Permanent Executive position,Datafin,R Undisclosed,,03 Dec 2022,13 Dec 2022,10,9,https://www.careerjunction.co.za/data-analyst-jhb-at-datafin-recruitment-job-2492746.aspx
4,Product Data Engineer,"Cape Town CBD, Western Cape",Permanent Specialist position,Phanda Personnel,R Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/product-data-engineer-job-2493960.aspx
5,Senior Data Exchange Platform Engineer (DBA),"Johannesburg North (Johannesburg North), Gauteng",Contract Senior position,Praesignis (Pty) LTD,R Undisclosed,,03 Dec 2022,08 Dec 2022,5,4,https://www.careerjunction.co.za/senior-data-exchange-platform-engineer-dba-job-2492708.aspx
6,Data Product Owner at Salt,"Cape Town Region, Western Cape",Permanent Intermediate position,Salt South Africa,R Undisclosed,,03 Dec 2022,15 Dec 2022,12,11,https://www.careerjunction.co.za/data-product-owner-at-salt-job-2492637.aspx
7,Data Architect (Non-Technical) - Johannesburg - Up to R1.3m Per Annum at e-Merge IT Recruitment,"Sandown, Gauteng",Permanent Senior position,e-Merge IT Recruitment,"R100,000 - R108,300 per month",100000.0,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/data-architect-non-technical-johannesburg-up-to-r13m-per-annum-at-e-merge-it-recruitment-job-2493979.aspx
8,Product Data Engineer - 7 Years Contract,"Cape Town, Western Cape",Contract Senior position,Kamo Placements,R Undisclosed,,03 Dec 2022,07 Dec 2022,4,3,https://www.careerjunction.co.za/product-data-engineer-7-years-contract-job-2493930.aspx
9,Data Modeller - Johannesburg - Up to R850k Per Annum at e-Merge IT Recruitment,"Johannesburg, Gauteng",Permanent Senior position,e-Merge IT Recruitment,"R66,700 - R70,800 per month",66700.0,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/data-modeller-johannesburg-up-to-r850k-per-annum-at-e-merge-it-recruitment-job-2493955.aspx
