,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
0,Webmethods Engineer,"Johannesburg North (Johannesburg North), Gauteng",Contract Intermediate position,Digiterra,Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/webmethods-engineer-job-2493954.aspx
1,Engineer,"De Bron (Bellville Ext 44), Western Cape",Permanent Senior position,Sintrex Integration Services (Pty) Ltd,Undisclosed,,29 Nov 2022,02 Jan 2023,34,29,https://www.careerjunction.co.za/engineer-job-2494456.aspx
2,Engineer: Service Delivery,"Sandown, Gauteng",Permanent Junior EE position,Tier 1 Consultants,Undisclosed,,29 Nov 2022,15 Dec 2022,16,11,https://www.careerjunction.co.za/engineer-service-delivery-job-2492233.aspx
3,SPPS Engineer at Standard Profil,"Parow Industrial, Western Cape",Permanent Specialist position,Standard Profil SA,R Undisclosed,,27 Nov 2022,05 Dec 2022,8,1,https://www.careerjunction.co.za/spps-engineer-at-standard-profil-job-2490615.aspx
4,Teamcenter Engineer OR Developer  at Datafin Recruitment,"Cape Town, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,25 Nov 2022,05 Dec 2022,10,1,https://www.careerjunction.co.za/teamcenter-engineer-or-developer-at-datafin-recruitment-job-2491503.aspx
5,Professional Engineer at Department of Transport and Public Works,"Cape Town Region, Western Cape",Permanent Intermediate position,Ayanda Mbanga,Undisclosed,,03 Dec 2022,11 Dec 2022,8,7,https://www.careerjunction.co.za/professional-engineer-at-department-of-transport-and-public-works-job-2491410.aspx
6,Learnership Engineering 18.2 at Assmang Mines,"Northern Cape, South Africa",Contract Junior position,Assmang Manganese,R Undisclosed,,24 Nov 2022,07 Dec 2022,13,3,https://www.careerjunction.co.za/learnership-engineering-182-at-assmang-mines-job-2450761.aspx
7,Professional Engineer at Smec South Africa,"Johannesburg Region, Gauteng",Permanent Senior position,SMEC South Africa,Undisclosed,,27 Nov 2022,05 Dec 2022,8,1,https://www.careerjunction.co.za/professional-engineer-at-smec-south-africa-job-2490643.aspx
8,Application Security Engineer,"Cape Town, Western Cape",Permanent Intermediate position,Boardroom Appointments,R Undisclosed,,03 Dec 2022,24 Dec 2022,21,20,https://www.careerjunction.co.za/application-security-engineer-job-2494075.aspx
9,Senior Network Security Engineer (CPT Hybrid) at Datafin Recruitment,"Durbanville, Western Cape",Permanent Senior position,Datafin,R Undisclosed,,03 Dec 2022,14 Dec 2022,11,10,https://www.careerjunction.co.za/senior-network-security-engineer-cpt-hybrid-at-datafin-recruitment-job-2492855.aspx
10,Sales Engineer,"Pinetown, KwaZulu-Natal",Permanent Specialist position,Kwena Human Capital,Undisclosed,,03 Dec 2022,11 Dec 2022,8,7,https://www.careerjunction.co.za/sales-engineer-job-2491399.aspx
