,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
0,SQL Data Analyst / BI Developer at M1 Management,"Johannesburg Region, Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,"R35,000 - R45,000 per month",35000.0,02 Dec 2022,05 Jan 2023,34,34,https://www.careerjunction.co.za/sql-data-analyst-bi-developer-at-m1-management-job-2495004.aspx
1,Data Scientist,"Midrand, Gauteng",Permanent Senior position,Pinpoint One Human Resources,R Undisclosed,,02 Dec 2022,05 Jan 2023,34,34,https://www.careerjunction.co.za/data-scientist-job-2495003.aspx
2,Data Engineer - Remote at Abantu Staffing Solutions,"Eastern Cape, South Africa",Permanent Senior position,Abantu Staffing Solutions,R Undisclosed,,02 Dec 2022,01 Jan 2023,30,30,https://www.careerjunction.co.za/data-engineer-remote-at-abantu-staffing-solutions-job-2494997.aspx
3,M & E Officer (Data Quality) HIV/GBV (FTC) WRHI at AJ Personnel,"Johannesburg Region, Gauteng",Contract Intermediate position,AJ Personnel,R Undisclosed,,02 Dec 2022,01 Jan 2023,30,30,https://www.careerjunction.co.za/m-%26-e-officer-data-quality-hiv-gbv-ftc-wrhi-at-aj-personnel-job-2494987.aspx
4,Data Architect,"Midrand, Gauteng",Contract Specialist position,DCV Sabenza IT and Recruitment,Undisclosed,,02 Dec 2022,27 Dec 2022,25,25,https://www.careerjunction.co.za/data-architect-job-2493744.aspx
5,Data Modeller (JHB) at Datafin Recruitment,"Sandton, Gauteng",Permanent Executive position,Datafin,R Undisclosed,,02 Dec 2022,12 Dec 2022,10,10,https://www.careerjunction.co.za/data-modeller-jhb-at-datafin-recruitment-job-2492419.aspx
6,Data Architect LWR1243 at Mediro ICT,"Johannesburg Region, Gauteng",Contract Senior position,Mediro Application Consulting,R Undisclosed,,01 Dec 2022,23 Dec 2022,22,21,https://www.careerjunction.co.za/data-architect-lwr1243-at-mediro-ict-job-2493667.aspx
7,Senior Data Modeller (Hybrid) TB at Mediro ICT,"Pretoria Region, Gauteng",Contract Senior position,Mediro Application Consulting,R Undisclosed,,01 Dec 2022,30 Dec 2022,29,28,https://www.careerjunction.co.za/senior-data-modeller-hybrid-tb-at-mediro-ict-job-2494929.aspx
8,Data Engineer,"East London, Eastern Cape",Permanent Intermediate position,Staff Solutions,R Undisclosed,,01 Dec 2022,29 Dec 2022,28,27,https://www.careerjunction.co.za/data-engineer-job-2494857.aspx
9,Data Engineer,"Cape Town CBD, Western Cape
 / Work From Home",Permanent Intermediate position,BigTalent,"R50,000 - R75,000 per month",50000.0,01 Dec 2022,04 Jan 2023,34,33,https://www.careerjunction.co.za/data-engineer-job-2494832.aspx
10,Digital Data & Intelligence Director,"Cape Town Region, Western Cape",Permanent Management position,PeopleSolved,"R60,000 - R80,000 per month",60000.0,01 Dec 2022,08 Dec 2022,7,6,https://www.careerjunction.co.za/digital-data-%26-intelligence-director-job-2491306.aspx
11,Senior Project Mechanical Design Engineer (Data Centres),"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,SciTech Placements (Pty) Ltd,R Undisclosed,,01 Dec 2022,08 Dec 2022,7,6,https://www.careerjunction.co.za/senior-project-mechanical-design-engineer-data-centres-job-2493484.aspx
12,Data Scientist,"Tokai, Western Cape",Permanent Intermediate position,The Talent Experts,Undisclosed,,01 Dec 2022,26 Dec 2022,25,24,https://www.careerjunction.co.za/data-scientist-job-2493644.aspx
13,Solutions Architect: Data and Analytics at Datafin Recruitment,"Stellenbosch, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,01 Dec 2022,02 Dec 2022,1,0,https://www.careerjunction.co.za/solutions-architect-data-and-analytics-at-datafin-recruitment-job-2491282.aspx
14,Mid to Senior Data Engineer,"Johannesburg, Gauteng",Permanent Senior position,ProApp HR Solutions,"R60,000 - R85,000 per month",60000.0,01 Dec 2022,26 Dec 2022,25,24,https://www.careerjunction.co.za/mid-to-senior-data-engineer-job-2493557.aspx
15,Data Scientist (Data & Insights),"Stellenbosch, Western Cape",Permanent Intermediate position,Imperial Logistics,Undisclosed,,30 Nov 2022,03 Jan 2023,34,32,https://www.careerjunction.co.za/data-scientist-data-%26-insights-job-2494719.aspx
