,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
0,Manager: Payables Supervisor (BTS Utilities),"West Rand, Gauteng
 / Work From Home",Contract Management EE position,Godisanang Recruitment (Pty) Ltd,R Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/manager-payables-supervisor-bts-utilities-job-2493966.aspx
1,Diesel Manager - (Olifantsfontein),"Midrand, Gauteng",Permanent Senior position,Sinakho Staffshop (Pty) Ltd,"R35,000 - R38,000 per month",35000.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/diesel-manager-olifantsfontein-job-2494811.aspx
2,Senior Manger Special Projects at small enterprises and cooperatives,"Hatfield, Gauteng",Contract Management position,Bay Recruitment,"R1,074,355 - R1,263,947 per month",1074355.0,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/senior-manger-special-projects-at-small-enterprises-and-cooperatives-job-2495038.aspx
3,GTM Manager,"Woodmead, Gauteng",Contract Intermediate position,MPC Recruitment (MPC Recruitment),Undisclosed,,27 Nov 2022,13 Dec 2022,16,9,https://www.careerjunction.co.za/gtm-manager-job-2491934.aspx
4,MANAGER MANAGEMENT ACCOUNTNG  (6 MONTHS FTC),"Centurion, Gauteng",Contract Management EE position,M-Ploy Global Resourcing,"R72,000 per month",72000.0,26 Nov 2022,22 Dec 2022,26,18,https://www.careerjunction.co.za/manager-management-accountng-6-months-ftc-job-2493221.aspx
5,Rentals Manager (Kliprivier),"Alberton, Gauteng",Permanent Management position,Milton Resourcing (Pty) Ltd,"R60,000 - R62,500 per month",60000.0,26 Nov 2022,12 Dec 2022,16,8,https://www.careerjunction.co.za/rentals-manager-kliprivier-job-2491708.aspx
6,SPECIALIST MONITORING & ARREAR MANAGMENT (24 MTHS FTC),"Centurion, Gauteng",Contract Specialist EE position,M-Ploy Global Resourcing,"R46,200 per month",46200.0,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/specialist-monitoring-%26-arrear-managment-24-mths-ftc-job-2492681.aspx
7,Management and Sales at CCL GLOBAL,"Pretoria Region, Gauteng",Permanent Intermediate position,CCL Global,R Undisclosed,,02 Dec 2022,19 Dec 2022,17,15,https://www.careerjunction.co.za/management-and-sales-at-ccl-global-job-2492641.aspx
8,Learning Management System Lead,"Johannesburg Region, Gauteng
 / Work From Home",Contract Intermediate position,IT Network Recruitment & Consulting,Undisclosed,,26 Nov 2022,22 Dec 2022,26,18,https://www.careerjunction.co.za/learning-management-system-lead-job-2493193.aspx
9,Management Acountant,"Turffontein, Gauteng",Temporary Management position,Malander Placements,R Undisclosed,,24 Nov 2022,25 Dec 2022,31,21,https://www.careerjunction.co.za/management-acountant-job-2487943.aspx
10,Manager - Financial Due Diligence,"Johannesburg Region, Gauteng
 / Work From Home",Permanent Management position,Professional Sourcing,Undisclosed,,03 Nov 2022,07 Dec 2022,34,3,https://www.careerjunction.co.za/manager-financial-due-diligence-job-2476127.aspx
11,LEARNING AND DEVELOPMENT MANAGER at Universal Healthcare,"Sunninghill, Gauteng",Permanent Management position,Universal Healthcare,Undisclosed,,03 Dec 2022,20 Dec 2022,17,16,https://www.careerjunction.co.za/learning-and-development-manager-at-universal-healthcare-job-2492789.aspx
12,Provincial PR Manager - Gauteng at O'Brien Recruitment,"Johannesburg Region, Gauteng",Permanent Intermediate EE position,O'Brien Recruitment,R Undisclosed,,03 Dec 2022,16 Dec 2022,13,12,https://www.careerjunction.co.za/provincial-pr-manager-gauteng-at-o-brien-recruitment-job-2492860.aspx
13,Business Development Manager: Lenovo ISG at Mustek Limited,"Midrand, Gauteng",Permanent Specialist EE position,Mustek Limited,Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/business-development-manager-lenovo-isg-at-mustek-limited-job-2493981.aspx
14,Transformation Manager at Momentum,"Centurion, Gauteng",Permanent Management position,Momentum Metropolitan,Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/transformation-manager-at-momentum-job-2493974.aspx
15,Customer Service Centre Manager (Export) at PFG,"Springs, Gauteng",Permanent Senior position,PG Group,Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/customer-service-centre-manager-export-at-pfg-job-2493863.aspx
16,Business Development Manager,"Johannesburg, Gauteng
 / Work From Home",Permanent Intermediate position,The Talent Experts,Undisclosed,,03 Dec 2022,11 Dec 2022,8,7,https://www.careerjunction.co.za/business-development-manager-job-2491374.aspx
17,Country Manager (Technical),"Johannesburg, Gauteng",Permanent Management position,Staff Solutions,R Undisclosed,,03 Dec 2022,14 Dec 2022,11,10,https://www.careerjunction.co.za/country-manager-technical-job-2492669.aspx
18,Technical Sales Manager - Manufacturing (steel) - Vereeniging,"Vereeniging NU, Gauteng",Permanent Specialist EE position,Kwena Human Capital,Undisclosed,,03 Dec 2022,28 Dec 2022,25,24,https://www.careerjunction.co.za/technical-sales-manager-manufacturing-steel-vereeniging-job-2493969.aspx
19,Business Development Manager - SADC at Michael Page South Africa Limited,"Gauteng, South Africa",Permanent Management position,Michael Page International,R Undisclosed,,03 Dec 2022,15 Dec 2022,12,11,https://www.careerjunction.co.za/business-development-manager-sadc-at-michael-page-south-africa-limited-job-2492647.aspx
20,Restaurant General Manager,"Johannesburg, Gauteng",Permanent Intermediate position,OTTOBAUTHENTIC (PTY) LTD,"R10,000 - R18,000 per month",10000.0,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/restaurant-general-manager-job-2492692.aspx
21,BI Manager,"Johannesburg North (Johannesburg North), Gauteng",Contract Senior position,Psybergate Pty Ltd,R Undisclosed,,03 Dec 2022,14 Dec 2022,11,10,https://www.careerjunction.co.za/bi-manager-job-2492643.aspx
22,Regional Sales Manager,"Johannesburg Region, Gauteng",Permanent Intermediate EE position,Bristow Talent & Associates,R Undisclosed,,03 Dec 2022,19 Dec 2022,16,15,https://www.careerjunction.co.za/regional-sales-manager-job-2492707.aspx
23,Area Sales Manager at African Sales Company,"Midrand, Gauteng",Permanent Senior position,,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/area-sales-manager-at-african-sales-company-job-2495052.aspx
24,General Manager Marketing,"Midrand, Gauteng",Permanent Management position,,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/general-manager-marketing-job-2495054.aspx
25,Fabrication Manager,"East Rand, Gauteng",Permanent Senior position,Taylored Appointments,"R41,700 - R48,300 per month",41700.0,02 Dec 2022,19 Dec 2022,17,15,https://www.careerjunction.co.za/fabrication-manager-job-2492687.aspx
26,Manager Treasury and Payroll at Armscor,"Erasmuskloof, Gauteng",Permanent Senior EE position,ARMSCOR,Undisclosed,,02 Dec 2022,27 Dec 2022,25,23,https://www.careerjunction.co.za/manager-treasury-and-payroll-at-armscor-job-2493825.aspx
27,LEARNING AND DEVELOPMENT MANAGER at Healthcare,"Sunninghill, Gauteng",Permanent Senior position,Che Leigh Personnel Consultants,R Undisclosed,,02 Dec 2022,19 Dec 2022,17,15,https://www.careerjunction.co.za/learning-and-development-manager-at-healthcare-job-2492635.aspx
28,Implementation and Consulting Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,Strategic Personnel,"R58,300 - R62,500 per month",58300.0,02 Dec 2022,08 Dec 2022,6,4,https://www.careerjunction.co.za/implementation-and-consulting-manager-job-2493891.aspx
29,Data Manager (Wits CHRU)  at AJ Personnel,"Johannesburg Region, Gauteng",Permanent Intermediate position,AJ Personnel,R Undisclosed,,02 Dec 2022,15 Dec 2022,13,11,https://www.careerjunction.co.za/data-manager-wits-chru-at-aj-personnel-job-2492646.aspx
30,Key Accounts Manager - Flexible Packaging,"Sandton, Gauteng",Permanent Intermediate position,Talentsphere,R Undisclosed,,02 Dec 2022,31 Dec 2022,29,27,https://www.careerjunction.co.za/key-accounts-manager-flexible-packaging-job-2495051.aspx
