,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
0,Manager - Financial Due Diligence,"Johannesburg Region, Gauteng
 / Work From Home",Permanent Management position,Professional Sourcing,Undisclosed,,08 Dec 2022,11 Jan 2023,34,32,https://www.careerjunction.co.za/manager-financial-due-diligence-job-2495666.aspx
1,MANAGER MANAGEMENT ACCOUNTNG  (6 MONTHS FTC),"Centurion, Gauteng",Contract Management EE position,M-Ploy Global Resourcing,"R72,000 per month",72000.0,06 Dec 2022,22 Dec 2022,16,12,https://www.careerjunction.co.za/manager-management-accountng-6-months-ftc-job-2493221.aspx
2,GTM Manager,"Woodmead, Gauteng",Contract Intermediate position,MPC Recruitment (MPC Recruitment),Undisclosed,,06 Dec 2022,13 Dec 2022,7,3,https://www.careerjunction.co.za/gtm-manager-job-2491934.aspx
3,Ventilation Manager,"Limpopo, South Africa",Permanent Senior position,Mass Staffing Projects,"R125,000 - R133,300 per month",125000.0,05 Dec 2022,22 Dec 2022,17,12,https://www.careerjunction.co.za/ventilation-manager-job-2493131.aspx
4,Rentals Manager (Kliprivier),"Alberton, Gauteng",Permanent Management position,Milton Resourcing (Pty) Ltd,"R60,000 - R62,500 per month",60000.0,05 Dec 2022,12 Dec 2022,7,2,https://www.careerjunction.co.za/rentals-manager-kliprivier-job-2491708.aspx
5,Ventilation Manager,"Limpopo, South Africa",Permanent Senior position,Mass Staffing Projects,"R116,700 - R125,000 per month",116700.0,04 Dec 2022,12 Dec 2022,8,2,https://www.careerjunction.co.za/ventilation-manager-job-2491601.aspx
6,Manager: Payables Supervisor (BTS Utilities),"West Rand, Gauteng
 / Work From Home",Contract Management EE position,Godisanang Recruitment (Pty) Ltd,R Undisclosed,,03 Dec 2022,28 Dec 2022,25,18,https://www.careerjunction.co.za/manager-payables-supervisor-bts-utilities-job-2493966.aspx
7,Senior Manger Special Projects at small enterprises and cooperatives,"Hatfield, Gauteng",Contract Management position,Bay Recruitment,"R1,074,355 - R1,263,947 per month",1074355.0,02 Dec 2022,05 Jan 2023,34,26,https://www.careerjunction.co.za/senior-manger-special-projects-at-small-enterprises-and-cooperatives-job-2495038.aspx
8,HTML Design & Code & Campaign Management,"Kirstenhof, Western Cape",Permanent Junior position,,"R30,000 - R40,000 per month",30000.0,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/html-design-%26-code-%26-campaign-management-job-2494510.aspx
9,Learning Management System Lead,"Johannesburg Region, Gauteng
 / Work From Home",Contract Intermediate position,IT Network Recruitment & Consulting,Undisclosed,,06 Dec 2022,22 Dec 2022,16,12,https://www.careerjunction.co.za/learning-management-system-lead-job-2493193.aspx
